,56:00.6,0,7,0,1
30740000001D88400000000B,56:00.6,0,1,4821.8,1
30740000001D88400000000A,56:00.6,0,1,3401.5,1
30740000001D88400000000B,56:00.6,0,1,4791.9,1
30740000001D88400000000A,56:00.6,0,1,3240.1,1
30740000001D88400000000B,56:00.7,0,1,4747.7,1
30740000001D88400000000A,56:00.7,0,1,3442.7,1
30740000001D88400000000B,56:00.8,0,1,4720.1,1
30740000001D88400000000A,56:00.8,0,1,3412.3,1
30740000001D88400000000B,56:00.9,0,1,4726.6,1
30740000001D88400000000A,56:00.9,0,1,3399.4,1
30740000001D88400000000B,56:00.9,0,1,4518,1
30740000001D88400000000A,56:00.9,0,1,3228.1,1
30740000001D88400000000B,56:01.0,0,1,4556.5,1
30740000001D88400000000A,56:01.0,0,1,3411.9,1
30740000001D88400000000B,56:01.1,0,1,4568.1,1
30740000001D88400000000A,56:01.1,0,1,3351.1,1
30740000001D88400000000B,56:01.2,0,1,4705,1
30740000001D88400000000A,56:01.2,0,1,3344.8,1
30740000001D88400000000B,56:01.2,0,1,4785.3,1
30740000001D88400000000A,56:01.2,0,1,3374.8,1
30740000001D88400000000B,56:01.3,0,1,4833.5,1
30740000001D88400000000A,56:01.3,0,1,3361.4,1
30740000001D88400000000B,56:01.4,0,1,4555.1,1
30740000001D88400000000A,56:01.4,0,1,3376.9,1
30740000001D88400000000B,56:01.5,0,1,4597.4,1
30740000001D88400000000A,56:01.5,0,1,3387.3,1
30740000001D88400000000B,56:01.6,0,1,4622.1,1
30740000001D88400000000A,56:01.6,0,1,3338.6,1
30740000001D88400000000B,56:01.6,0,1,4280,1
30740000001D88400000000A,56:01.6,0,1,3227.1,1
30740000001D88400000000B,56:01.7,0,1,4381.1,1
30740000001D88400000000A,56:01.7,0,1,3333,1
30740000001D88400000000B,56:01.8,0,1,4349.4,1
30740000001D88400000000A,56:01.8,0,1,3066.8,1
30740000001D88400000000B,56:01.9,0,1,4693.9,1
30740000001D88400000000A,56:01.9,0,1,3078.9,1
30740000001D88400000000B,56:01.9,0,1,4699.9,1
30740000001D88400000000A,56:01.9,0,1,3024.7,1
