,50:50.5,0,7,0,1
30740000001D88400000000A,50:50.5,0,1,6160.7,1
30740000001D88400000000A,50:50.5,0,1,5988.1,1
30740000001D88400000000A,50:50.6,0,1,6059.2,1
30740000001D88400000000A,50:50.6,0,1,6001.1,1
30740000001D88400000000A,50:50.7,0,1,6347.1,1
30740000001D88400000000A,50:50.7,0,1,6305.5,1
30740000001D88400000000A,50:50.8,0,1,6509.1,1
30740000001D88400000000A,50:50.8,0,1,6364.3,1
30740000001D88400000000A,50:50.9,0,1,6167.9,1
30740000001D88400000000A,50:51.0,0,1,6258.4,1
30740000001D88400000000A,50:51.0,0,1,6203.2,1
30740000001D88400000000A,50:51.1,0,1,6068.3,1
30740000001D88400000000A,50:51.1,0,1,6172.2,1
30740000001D88400000000A,50:51.1,0,1,6203.3,1
30740000001D88400000000A,50:51.2,0,1,6030.9,1
30740000001D88400000000A,50:51.2,0,1,6071.6,1
30740000001D88400000000A,50:51.3,0,1,6001,1
30740000001D88400000000A,50:51.4,0,1,6493.4,1
30740000001D88400000000A,50:51.4,0,1,6494.3,1
30740000001D88400000000A,50:51.5,0,1,6536.6,1
30740000001D88400000000A,50:51.5,0,1,6439.1,1
30740000001D88400000000A,50:51.6,0,1,6172.8,1
30740000001D88400000000A,50:51.6,0,1,6231.5,1
30740000001D88400000000A,50:51.7,0,1,6185.5,1
30740000001D88400000000A,50:51.7,0,1,6098.8,1
30740000001D88400000000A,50:51.8,0,1,6177.5,1
30740000001D88400000000A,50:51.8,0,1,6106.6,1
30740000001D88400000000A,50:51.9,0,1,6132.2,1
30740000001D88400000000A,50:51.9,0,1,6006.2,1
30740000001D88400000000A,50:52.0,0,1,6052.5,1
30740000001D88400000000A,50:52.0,0,1,6340.9,1
30740000001D88400000000A,50:52.1,0,1,6188,1
30740000001D88400000000A,50:52.1,0,1,6329,1
30740000001D88400000000A,50:52.2,0,1,6195.6,1
30740000001D88400000000A,50:52.2,0,1,5890.2,1
30740000001D88400000000A,50:52.3,0,1,5837,1
30740000001D88400000000A,50:52.3,0,1,5751.2,1
30740000001D88400000000A,50:52.4,0,1,5785.8,1
30740000001D88400000000A,50:52.4,0,1,5970.9,1
30740000001D88400000000A,50:52.5,0,1,5834.3,1
30740000001D88400000000A,50:52.5,0,1,6123.8,1
30740000001D88400000000A,50:52.6,0,1,6159.1,1
30740000001D88400000000A,50:52.6,0,1,6571.1,1
30740000001D88400000000A,50:52.7,0,1,7226.8,1
30740000001D88400000000A,50:52.8,0,1,7059,1
30740000001D88400000000A,50:52.8,0,1,6983.4,1
30740000001D88400000000A,50:52.9,0,1,6989.1,1
30740000001D88400000000A,50:52.9,0,1,6573,1
30740000001D88400000000A,50:52.9,0,1,6524.3,1
30740000001D88400000000A,50:53.0,0,1,6078,1
30740000001D88400000000A,50:53.0,0,1,5743.9,1
30740000001D88400000000A,50:53.1,0,1,6277.3,1
30740000001D88400000000A,50:53.2,0,1,6864.8,1
30740000001D88400000000A,50:53.2,0,1,7266.4,1
30740000001D88400000000A,50:53.2,0,1,7430,1
30740000001D88400000000A,50:53.3,0,1,7156.5,1
30740000001D88400000000A,50:53.4,0,1,7399,1
30740000001D88400000000A,50:53.4,0,1,7468.2,1
30740000001D88400000000A,50:53.5,0,1,7466.3,1
30740000001D88400000000A,50:53.5,0,1,7421.8,1
30740000001D88400000000A,50:53.6,0,1,6878,1
30740000001D88400000000A,50:53.6,0,1,5331.1,1
30740000001D88400000000A,50:53.7,0,1,3864.4,1
30740000001D88400000000A,50:53.7,0,1,3356.6,1
30740000001D88400000000A,50:53.8,0,1,3887.6,1
30740000001D88400000000A,50:53.8,0,1,4704,1
30740000001D88400000000A,50:53.9,0,1,5519.2,1
30740000001D88400000000A,50:53.9,0,1,5970.7,1
30740000001D88400000000A,50:54.0,0,1,6036.1,1
30740000001D88400000000A,50:54.0,0,1,6507.6,1
30740000001D88400000000A,50:54.1,0,1,6807.9,1
30740000001D88400000000A,50:54.1,0,1,6841.8,1
30740000001D88400000000A,50:54.2,0,1,7136.7,1
30740000001D88400000000A,50:54.2,0,1,7416.5,1
30740000001D88400000000A,50:54.3,0,1,7279.6,1
30740000001D88400000000A,50:54.3,0,1,7450.8,1
30740000001D88400000000A,50:54.4,0,1,7924.5,1
30740000001D88400000000A,50:54.4,0,1,8099,1
30740000001D88400000000A,50:54.5,0,1,8445.5,1
30740000001D88400000000A,50:54.6,0,1,8306,1
30740000001D88400000000A,50:54.6,0,1,7639.1,1
30740000001D88400000000A,50:54.7,0,1,6290.3,1
30740000001D88400000000A,50:54.7,0,1,5135.2,1
30740000001D88400000000A,50:54.7,0,1,4487.1,1
30740000001D88400000000A,50:54.8,0,1,5120.1,1
30740000001D88400000000A,50:54.8,0,1,5309.7,1
30740000001D88400000000A,50:54.9,0,1,4470.8,1
30740000001D88400000000A,50:55.0,0,1,3790.9,1
30740000001D88400000000A,50:55.0,0,1,3342.3,1
30740000001D88400000000A,50:55.1,0,1,2893.6,1
30740000001D88400000000A,50:55.1,0,1,2329.5,1
30740000001D88400000000A,50:55.1,0,1,1954.3,1
30740000001D88400000000A,50:55.2,0,1,1817.9,1
30740000001D88400000000A,50:55.2,0,1,1700.6,1
30740000001D88400000000A,50:57.2,0,1,1637.7,1
30740000001D88400000000A,50:57.2,0,1,1725.7,1
30740000001D88400000000A,50:57.3,0,1,1939.2,1
30740000001D88400000000A,50:57.3,0,1,2103.4,1
30740000001D88400000000A,50:57.4,0,1,2529.7,1
30740000001D88400000000A,50:57.4,0,1,3050.7,1
30740000001D88400000000A,50:57.5,0,1,3531.5,1
30740000001D88400000000A,50:57.5,0,1,3952.3,1
30740000001D88400000000A,50:57.6,0,1,4411.3,1
30740000001D88400000000A,50:57.6,0,1,4755.5,1
30740000001D88400000000A,50:57.7,0,1,4931.2,1
30740000001D88400000000A,50:57.7,0,1,5399.5,1
30740000001D88400000000A,50:57.8,0,1,6206.1,1
30740000001D88400000000A,50:57.8,0,1,6360.8,1
30740000001D88400000000A,50:57.9,0,1,6394.8,1
30740000001D88400000000A,50:57.9,0,1,6916.1,1
30740000001D88400000000A,50:58.0,0,1,7722.6,1
30740000001D88400000000A,50:58.0,0,1,8653.4,1
30740000001D88400000000A,50:58.1,0,1,9396.6,1
30740000001D88400000000A,50:58.1,0,1,9134.2,1
30740000001D88400000000A,50:58.2,0,1,8090.2,1
30740000001D88400000000A,50:58.2,0,1,7488.8,1
30740000001D88400000000A,50:58.3,0,1,8124.7,1
30740000001D88400000000A,50:58.3,0,1,9174.9,1
30740000001D88400000000A,50:58.4,0,1,12142.8,1
30740000001D88400000000A,50:58.4,0,1,10089.1,1
30740000001D88400000000A,50:58.5,0,1,9732.8,1
30740000001D88400000000A,50:58.5,0,1,9724,1
30740000001D88400000000A,50:58.6,0,1,8971.1,1
30740000001D88400000000A,50:58.6,0,1,7720.3,1
30740000001D88400000000A,50:58.7,0,1,6868.1,1
30740000001D88400000000A,50:58.7,0,1,6849.4,1
30740000001D88400000000A,50:58.8,0,1,6624.8,1
30740000001D88400000000A,50:58.8,0,1,6323.1,1
30740000001D88400000000A,50:58.9,0,1,6366.5,1
30740000001D88400000000A,50:58.9,0,1,6517.8,1
30740000001D88400000000A,50:59.0,0,1,6221.2,1
30740000001D88400000000A,50:59.1,0,1,5868.1,1
30740000001D88400000000A,50:59.1,0,1,5358.5,1
30740000001D88400000000A,50:59.2,0,1,4397,1
30740000001D88400000000A,50:59.3,0,1,4841.2,1
30740000001D88400000000A,50:59.4,0,1,5527.6,1
30740000001D88400000000A,50:59.5,0,1,5744.7,1
30740000001D88400000000A,50:59.6,0,1,6881.8,1
30740000001D88400000000A,50:59.6,0,1,6136.1,1
30740000001D88400000000A,50:59.7,0,1,5726.8,1
30740000001D88400000000A,50:59.7,0,1,6066.5,1
30740000001D88400000000A,50:59.8,0,1,5959.3,1
30740000001D88400000000A,50:59.8,0,1,6025.8,1
30740000001D88400000000A,50:59.9,0,1,5977.5,1
30740000001D88400000000A,50:59.9,0,1,5598.5,1
30740000001D88400000000A,51:00.0,0,1,5392.5,1
30740000001D88400000000A,51:00.0,0,1,5079.3,1
30740000001D88400000000A,51:00.1,0,1,5036.3,1
30740000001D88400000000A,51:00.1,0,1,5067.5,1
30740000001D88400000000A,51:00.2,0,1,5046.1,1
30740000001D88400000000A,51:00.2,0,1,5542.6,1
30740000001D88400000000A,51:00.3,0,1,5794.7,1
30740000001D88400000000A,51:00.3,0,1,5876.2,1
