,46:22.6,0,7,0,1
30740000001D88400000000A,46:22.6,0,1,18881.4,1
30740000001D88400000000A,46:22.7,0,1,19153.1,1
30740000001D88400000000A,46:22.7,0,1,19118.4,1
30740000001D88400000000A,46:22.8,0,1,18794.6,1
30740000001D88400000000A,46:22.8,0,1,20244.6,1
30740000001D88400000000A,46:22.9,0,1,19987.7,1
30740000001D88400000000A,46:22.9,0,1,20286,1
30740000001D88400000000A,46:23.0,0,1,20134,1
30740000001D88400000000A,46:23.0,0,1,19581.7,1
30740000001D88400000000A,46:23.1,0,1,19570.3,1
30740000001D88400000000A,46:23.2,0,1,19559.2,1
30740000001D88400000000A,46:23.2,0,1,19602.2,1
30740000001D88400000000A,46:23.2,0,1,18623.9,1
30740000001D88400000000A,46:23.3,0,1,18718.4,1
30740000001D88400000000A,46:23.3,0,1,18623.1,1
30740000001D88400000000A,46:23.4,0,1,18605.1,1
30740000001D88400000000A,46:23.4,0,1,18777.7,1
30740000001D88400000000A,46:23.5,0,1,21119.9,1
30740000001D88400000000A,46:23.6,0,1,20544.5,1
30740000001D88400000000A,46:23.6,0,1,21062.9,1
30740000001D88400000000A,46:23.7,0,1,20989.9,1
30740000001D88400000000A,46:23.7,0,1,21078.5,1
30740000001D88400000000A,46:23.8,0,1,20049.4,1
30740000001D88400000000A,46:23.8,0,1,19394.1,1
30740000001D88400000000A,46:23.9,0,1,19857.6,1
30740000001D88400000000A,46:23.9,0,1,21148.6,1
30740000001D88400000000A,46:24.0,0,1,20654.4,1
30740000001D88400000000A,46:24.0,0,1,20991.8,1
30740000001D88400000000A,46:24.1,0,1,20646.1,1
30740000001D88400000000A,46:24.1,0,1,20355.5,1
30740000001D88400000000A,46:24.2,0,1,20640.9,1
30740000001D88400000000A,46:24.2,0,1,20632.9,1
30740000001D88400000000A,46:24.3,0,1,20418.2,1
30740000001D88400000000A,46:24.3,0,1,19432.8,1
30740000001D88400000000A,46:24.4,0,1,17513.1,1
30740000001D88400000000A,46:24.4,0,1,17201.6,1
30740000001D88400000000A,46:24.5,0,1,16345,1
30740000001D88400000000A,46:24.5,0,1,15513.9,1
30740000001D88400000000A,46:24.6,0,1,13698.6,1
30740000001D88400000000A,46:24.6,0,1,14388.4,1
30740000001D88400000000A,46:24.7,0,1,15388.5,1
30740000001D88400000000A,46:24.7,0,1,14064.1,1
30740000001D88400000000A,46:24.8,0,1,11838.8,1
30740000001D88400000000A,46:24.8,0,1,9731,1
30740000001D88400000000A,46:24.9,0,1,9425.7,1
30740000001D88400000000A,46:24.9,0,1,10454.4,1
30740000001D88400000000A,46:25.0,0,1,10368.6,1
30740000001D88400000000A,46:25.0,0,1,10174.3,1
30740000001D88400000000A,46:25.1,0,1,9703.7,1
30740000001D88400000000A,46:25.1,0,1,8876.9,1
30740000001D88400000000A,46:25.2,0,1,7948.4,1
30740000001D88400000000A,46:25.2,0,1,7093.4,1
30740000001D88400000000A,46:25.3,0,1,6395.4,1
30740000001D88400000000A,46:25.4,0,1,5306.3,1
30740000001D88400000000A,46:25.4,0,1,4288.7,1
30740000001D88400000000A,46:25.5,0,1,3484.7,1
30740000001D88400000000A,46:25.5,0,1,3147.5,1
30740000001D88400000000A,46:25.6,0,1,3257.5,1
30740000001D88400000000A,46:25.6,0,1,3190.5,1
30740000001D88400000000A,46:25.7,0,1,3141.8,1
30740000001D88400000000A,46:25.7,0,1,3144.7,1
30740000001D88400000000A,46:25.8,0,1,2981,1
30740000001D88400000000A,46:25.8,0,1,2992.1,1
30740000001D88400000000A,46:25.9,0,1,2816.9,1
