,46:38.2,0,7,0,1
30740000001D88400000000A,46:38.2,0,1,11099.7,1
30740000001D88400000000A,46:38.2,0,1,10920.6,1
30740000001D88400000000A,46:38.3,0,1,10847.1,1
30740000001D88400000000A,46:38.3,0,1,10945.5,1
30740000001D88400000000A,46:38.4,0,1,10963.5,1
30740000001D88400000000A,46:38.5,0,1,10937.5,1
30740000001D88400000000A,46:38.5,0,1,11065.8,1
30740000001D88400000000A,46:38.6,0,1,11014.2,1
30740000001D88400000000A,46:38.6,0,1,10624.6,1
30740000001D88400000000A,46:38.7,0,1,10492.2,1
30740000001D88400000000A,46:38.7,0,1,10522.3,1
30740000001D88400000000A,46:38.8,0,1,10494.4,1
30740000001D88400000000A,46:38.8,0,1,10446.4,1
30740000001D88400000000A,46:38.9,0,1,10716.4,1
30740000001D88400000000A,46:38.9,0,1,11016.9,1
30740000001D88400000000A,46:39.0,0,1,10811.1,1
30740000001D88400000000A,46:39.0,0,1,10839.2,1
30740000001D88400000000A,46:39.1,0,1,10849.3,1
30740000001D88400000000A,46:39.1,0,1,11088.7,1
30740000001D88400000000A,46:39.2,0,1,11187.8,1
30740000001D88400000000A,46:39.2,0,1,10948.9,1
30740000001D88400000000A,46:39.3,0,1,10510.1,1
30740000001D88400000000A,46:39.3,0,1,10066.8,1
30740000001D88400000000A,46:39.4,0,1,10361.3,1
30740000001D88400000000A,46:39.4,0,1,11034.4,1
30740000001D88400000000A,46:39.5,0,1,10779.8,1
30740000001D88400000000A,46:39.5,0,1,11035,1
30740000001D88400000000A,46:39.6,0,1,11591.4,1
30740000001D88400000000A,46:39.6,0,1,12035.1,1
30740000001D88400000000A,46:39.7,0,1,12115.3,1
30740000001D88400000000A,46:39.7,0,1,11860.4,1
30740000001D88400000000A,46:39.8,0,1,11523,1
30740000001D88400000000A,46:39.8,0,1,11137.6,1
30740000001D88400000000A,46:39.9,0,1,11032.1,1
30740000001D88400000000A,46:39.9,0,1,10808.5,1
30740000001D88400000000A,46:40.0,0,1,10676.6,1
30740000001D88400000000A,46:40.0,0,1,10362.2,1
30740000001D88400000000A,46:40.1,0,1,9893.8,1
30740000001D88400000000A,46:40.1,0,1,9383.4,1
30740000001D88400000000A,46:40.2,0,1,9260.2,1
30740000001D88400000000A,46:40.2,0,1,9331.4,1
30740000001D88400000000A,46:40.3,0,1,9054.8,1
30740000001D88400000000A,46:40.3,0,1,7784.7,1
30740000001D88400000000A,46:40.4,0,1,7527.7,1
30740000001D88400000000A,46:40.4,0,1,6532.1,1
30740000001D88400000000A,46:40.5,0,1,4669.8,1
30740000001D88400000000A,46:40.5,0,1,3726.5,1
30740000001D88400000000A,46:40.6,0,1,2983.8,1
30740000001D88400000000A,46:40.6,0,1,2793.9,1
30740000001D88400000000A,46:40.7,0,1,2550.9,1
30740000001D88400000000A,46:40.8,0,1,2424.8,1
30740000001D88400000000A,46:40.8,0,1,2479.5,1
30740000001D88400000000A,46:40.9,0,1,2468.1,1
30740000001D88400000000A,46:40.9,0,1,2624.9,1
30740000001D88400000000A,46:41.0,0,1,2433.6,1
30740000001D88400000000A,46:41.0,0,1,2076.3,1
30740000001D88400000000A,46:43.6,0,1,1713.6,1
30740000001D88400000000A,46:43.7,0,1,2082.1,1
30740000001D88400000000A,46:43.7,0,1,2338.9,1
30740000001D88400000000A,46:43.8,0,1,2032.6,1
30740000001D88400000000A,46:43.8,0,1,1801.2,1
30740000001D88400000000A,46:43.9,0,1,2088.8,1
30740000001D88400000000A,46:44.0,0,1,2335.1,1
30740000001D88400000000A,46:44.0,0,1,2622.6,1
30740000001D88400000000A,46:44.1,0,1,2749.5,1
30740000001D88400000000A,46:44.1,0,1,3093.9,1
30740000001D88400000000A,46:44.2,0,1,3054.6,1
30740000001D88400000000A,46:44.2,0,1,3086.3,1
30740000001D88400000000A,46:44.3,0,1,2974,1
30740000001D88400000000A,46:44.3,0,1,2808.7,1
30740000001D88400000000A,46:44.4,0,1,3141.4,1
30740000001D88400000000A,46:44.4,0,1,3525.4,1
30740000001D88400000000A,46:44.5,0,1,3572.3,1
30740000001D88400000000A,46:44.5,0,1,3902.5,1
30740000001D88400000000A,46:44.6,0,1,3893.7,1
30740000001D88400000000A,46:44.6,0,1,4651.3,1
30740000001D88400000000A,46:44.7,0,1,6078.1,1
30740000001D88400000000A,46:44.7,0,1,8648.8,1
30740000001D88400000000A,46:44.8,0,1,9666.7,1
