,50:18.1,0,7,0,1
30740000001D88400000000A,50:18.1,0,1,9632.3,1
30740000001D88400000000A,50:18.1,0,1,9478.6,1
30740000001D88400000000A,50:18.2,0,1,9567.5,1
30740000001D88400000000A,50:18.2,0,1,9347.6,1
30740000001D88400000000A,50:18.3,0,1,9710.1,1
30740000001D88400000000A,50:18.3,0,1,9978.1,1
30740000001D88400000000A,50:18.4,0,1,10047,1
30740000001D88400000000A,50:18.4,0,1,9807.3,1
30740000001D88400000000A,50:18.5,0,1,9557.7,1
30740000001D88400000000A,50:18.5,0,1,9408.8,1
30740000001D88400000000A,50:18.6,0,1,9674.6,1
30740000001D88400000000A,50:18.6,0,1,9589.8,1
30740000001D88400000000A,50:18.7,0,1,9478.4,1
30740000001D88400000000A,50:18.7,0,1,9440.3,1
30740000001D88400000000A,50:18.8,0,1,9555.5,1
30740000001D88400000000A,50:18.8,0,1,9387,1
30740000001D88400000000A,50:18.9,0,1,9380.2,1
30740000001D88400000000A,50:18.9,0,1,10052.2,1
30740000001D88400000000A,50:19.0,0,1,9769.8,1
30740000001D88400000000A,50:19.0,0,1,9368.6,1
30740000001D88400000000A,50:19.1,0,1,9236.7,1
30740000001D88400000000A,50:19.1,0,1,8227.1,1
30740000001D88400000000A,50:19.2,0,1,8220.4,1
30740000001D88400000000A,50:19.2,0,1,7978,1
30740000001D88400000000A,50:19.3,0,1,8402.4,1
30740000001D88400000000A,50:19.3,0,1,8353.3,1
30740000001D88400000000A,50:19.4,0,1,8102.8,1
30740000001D88400000000A,50:19.5,0,1,8135.1,1
30740000001D88400000000A,50:19.5,0,1,8441.1,1
30740000001D88400000000A,50:19.6,0,1,9018.5,1
30740000001D88400000000A,50:19.6,0,1,9253.5,1
30740000001D88400000000A,50:19.7,0,1,9347.9,1
30740000001D88400000000A,50:19.7,0,1,9038.8,1
30740000001D88400000000A,50:19.8,0,1,8623.7,1
30740000001D88400000000A,50:19.8,0,1,7110.3,1
30740000001D88400000000A,50:19.9,0,1,7160.1,1
30740000001D88400000000A,50:19.9,0,1,7000.2,1
30740000001D88400000000A,50:20.0,0,1,6837.7,1
30740000001D88400000000A,50:20.0,0,1,6650.9,1
30740000001D88400000000A,50:20.1,0,1,6603.5,1
30740000001D88400000000A,50:20.1,0,1,6751,1
30740000001D88400000000A,50:20.2,0,1,7342.6,1
30740000001D88400000000A,50:20.2,0,1,8501.6,1
30740000001D88400000000A,50:20.3,0,1,9832.2,1
30740000001D88400000000A,50:20.3,0,1,9899,1
30740000001D88400000000A,50:20.4,0,1,8380.9,1
30740000001D88400000000A,50:20.4,0,1,6654.8,1
30740000001D88400000000A,50:20.5,0,1,5673.4,1
30740000001D88400000000A,50:20.5,0,1,4935.1,1
30740000001D88400000000A,50:20.6,0,1,4134.6,1
30740000001D88400000000A,50:20.6,0,1,3581.4,1
30740000001D88400000000A,50:20.7,0,1,3214.1,1
30740000001D88400000000A,50:20.7,0,1,2734.5,1
30740000001D88400000000A,50:20.8,0,1,2513.9,1
30740000001D88400000000A,50:20.8,0,1,2061.6,1
30740000001D88400000000A,50:20.9,0,1,1692,1
30740000001D88400000000A,50:21.3,0,1,1552.1,1
30740000001D88400000000A,50:21.4,0,1,1729.3,1
30740000001D88400000000A,50:21.4,0,1,1900,1
30740000001D88400000000A,50:21.5,0,1,1945.1,1
30740000001D88400000000A,50:21.5,0,1,1863.7,1
30740000001D88400000000A,50:21.6,0,1,1783.6,1
30740000001D88400000000A,50:21.6,0,1,1735.9,1
30740000001D88400000000A,50:21.7,0,1,1863.6,1
30740000001D88400000000A,50:21.7,0,1,1750.2,1
30740000001D88400000000A,50:21.8,0,1,1704,1
30740000001D88400000000A,50:21.9,0,1,1686.2,1
30740000001D88400000000A,50:21.9,0,1,1619.7,1
30740000001D88400000000A,50:22.0,0,1,1730.7,1
30740000001D88400000000A,50:22.0,0,1,2057.6,1
30740000001D88400000000A,50:22.1,0,1,2077.5,1
30740000001D88400000000A,50:22.1,0,1,2514.7,1
30740000001D88400000000A,50:22.2,0,1,2514.5,1
30740000001D88400000000A,50:22.3,0,1,2287.5,1
30740000001D88400000000A,50:22.3,0,1,2676.4,1
30740000001D88400000000A,50:22.4,0,1,3884.1,1
30740000001D88400000000A,50:22.4,0,1,5745.7,1
30740000001D88400000000A,50:22.5,0,1,6892,1
30740000001D88400000000A,50:22.5,0,1,6638.1,1
30740000001D88400000000A,50:22.6,0,1,7946.3,1
30740000001D88400000000A,50:22.6,0,1,10125.2,1
30740000001D88400000000A,50:22.7,0,1,10408.1,1
30740000001D88400000000A,50:22.7,0,1,9253.4,1
30740000001D88400000000A,50:22.8,0,1,8616.4,1
30740000001D88400000000A,50:22.8,0,1,8186.9,1
30740000001D88400000000A,50:22.8,0,1,7968.3,1
30740000001D88400000000A,50:22.9,0,1,7703.8,1
30740000001D88400000000A,50:23.0,0,1,7070.5,1
30740000001D88400000000A,50:23.0,0,1,6464.8,1
30740000001D88400000000A,50:23.1,0,1,6030.6,1
30740000001D88400000000A,50:23.1,0,1,6993.7,1
30740000001D88400000000A,50:23.2,0,1,7078.5,1
30740000001D88400000000A,50:23.2,0,1,6397.7,1
30740000001D88400000000A,50:23.2,0,1,6142.3,1
30740000001D88400000000A,50:23.3,0,1,5931.5,1
30740000001D88400000000A,50:23.3,0,1,6014,1
30740000001D88400000000A,50:23.4,0,1,6230.6,1
30740000001D88400000000A,50:23.4,0,1,6633.3,1
30740000001D88400000000A,50:23.5,0,1,7559.1,1
30740000001D88400000000A,50:23.6,0,1,8037.3,1
30740000001D88400000000A,50:23.6,0,1,8109.9,1
30740000001D88400000000A,50:23.7,0,1,7396.4,1
30740000001D88400000000A,50:23.7,0,1,6865.5,1
30740000001D88400000000A,50:23.8,0,1,6740.5,1
30740000001D88400000000A,50:23.8,0,1,6409.2,1
30740000001D88400000000A,50:23.9,0,1,6743.3,1
30740000001D88400000000A,50:23.9,0,1,6961.7,1
30740000001D88400000000A,50:24.0,0,1,7110.3,1
30740000001D88400000000A,50:24.0,0,1,7262.8,1
30740000001D88400000000A,50:24.1,0,1,7154.1,1
30740000001D88400000000A,50:24.1,0,1,7330.7,1
30740000001D88400000000A,50:24.2,0,1,7405.4,1
30740000001D88400000000A,50:24.2,0,1,7753.8,1
30740000001D88400000000A,50:24.3,0,1,7772.8,1
30740000001D88400000000A,50:24.3,0,1,7719.7,1
30740000001D88400000000A,50:24.4,0,1,8257.6,1
30740000001D88400000000A,50:24.4,0,1,8354.4,1
30740000001D88400000000A,50:24.5,0,1,8392.2,1
30740000001D88400000000A,50:24.5,0,1,8385.5,1
30740000001D88400000000A,50:24.6,0,1,7893.6,1
30740000001D88400000000A,50:24.7,0,1,7594.9,1
30740000001D88400000000A,50:24.7,0,1,7414,1
30740000001D88400000000A,50:24.8,0,1,7232.8,1
30740000001D88400000000A,50:24.8,0,1,6663.6,1
30740000001D88400000000A,50:24.9,0,1,6374.1,1
30740000001D88400000000A,50:24.9,0,1,6168.7,1
30740000001D88400000000A,50:25.0,0,1,5882.3,1
30740000001D88400000000A,50:25.0,0,1,5868.7,1
30740000001D88400000000A,50:25.1,0,1,6673.4,1
30740000001D88400000000A,50:25.1,0,1,6754.7,1
30740000001D88400000000A,50:25.1,0,1,6907.8,1
30740000001D88400000000A,50:25.2,0,1,7038.5,1
30740000001D88400000000A,50:25.2,0,1,7232.9,1
30740000001D88400000000A,50:25.3,0,1,7480.1,1
30740000001D88400000000A,50:25.3,0,1,7642,1
30740000001D88400000000A,50:25.4,0,1,7617.5,1
30740000001D88400000000A,50:25.5,0,1,7543.4,1
30740000001D88400000000A,50:25.5,0,1,7173.9,1
