,55:31.8,0,7,0,1
30740000001D88400000000B,55:31.8,0,1,7475.7,1
30740000001D88400000000A,55:31.8,0,1,5706.7,1
30740000001D88400000000B,55:31.8,0,1,7555.5,1
30740000001D88400000000A,55:31.8,0,1,5637.5,1
30740000001D88400000000B,55:31.9,0,1,7693.7,1
30740000001D88400000000A,55:31.9,0,1,5590.9,1
30740000001D88400000000B,55:32.0,0,1,7571.2,1
30740000001D88400000000A,55:32.0,0,1,5667.3,1
30740000001D88400000000B,55:32.0,0,1,7556.8,1
30740000001D88400000000A,55:32.0,0,1,5431.7,1
30740000001D88400000000B,55:32.1,0,1,7362,1
30740000001D88400000000A,55:32.1,0,1,5357.7,1
30740000001D88400000000B,55:32.1,0,1,7470.3,1
30740000001D88400000000A,55:32.1,0,1,5520.1,1
30740000001D88400000000B,55:32.2,0,1,7599.7,1
30740000001D88400000000A,55:32.2,0,1,5440.2,1
30740000001D88400000000B,55:32.3,0,1,7536.7,1
30740000001D88400000000A,55:32.3,0,1,5676,1
30740000001D88400000000B,55:32.3,0,1,7561.3,1
30740000001D88400000000A,55:32.3,0,1,5916.4,1
30740000001D88400000000B,55:32.4,0,1,7514.3,1
30740000001D88400000000A,55:32.4,0,1,5877.6,1
30740000001D88400000000B,55:32.5,0,1,7495.6,1
30740000001D88400000000A,55:32.5,0,1,5735.7,1
30740000001D88400000000B,55:32.5,0,1,7420.1,1
30740000001D88400000000A,55:32.5,0,1,5906.4,1
30740000001D88400000000B,55:32.6,0,1,7585.2,1
30740000001D88400000000A,55:32.6,0,1,5837.7,1
30740000001D88400000000B,55:32.6,0,1,7510,1
30740000001D88400000000A,55:32.6,0,1,5981.9,1
30740000001D88400000000B,55:32.7,0,1,7759.2,1
30740000001D88400000000A,55:32.7,0,1,5773.8,1
30740000001D88400000000B,55:32.8,0,1,7545.1,1
30740000001D88400000000A,55:32.8,0,1,5507.4,1
30740000001D88400000000B,55:32.8,0,1,7298.7,1
30740000001D88400000000A,55:32.8,0,1,5303.7,1
30740000001D88400000000B,55:32.9,0,1,7227.2,1
30740000001D88400000000A,55:32.9,0,1,5747.4,1
30740000001D88400000000B,55:33.0,0,1,7832.1,1
30740000001D88400000000A,55:33.0,0,1,6175.8,1
30740000001D88400000000B,55:33.0,0,1,7557.1,1
30740000001D88400000000A,55:33.0,0,1,5638,1
30740000001D88400000000B,55:33.1,0,1,7196.9,1
30740000001D88400000000A,55:33.1,0,1,5375.8,1
30740000001D88400000000B,55:33.2,0,1,6734.3,1
30740000001D88400000000A,55:33.2,0,1,5104,1
30740000001D88400000000B,55:33.2,0,1,7244.6,1
30740000001D88400000000A,55:33.2,0,1,5401.3,1
30740000001D88400000000B,55:33.3,0,1,8303.7,1
30740000001D88400000000A,55:33.3,0,1,6014.9,1
30740000001D88400000000B,55:33.4,0,1,8721.8,1
30740000001D88400000000A,55:33.4,0,1,6232.7,1
30740000001D88400000000B,55:33.4,0,1,9110.5,1
30740000001D88400000000A,55:33.4,0,1,5826.4,1
30740000001D88400000000B,55:33.5,0,1,9332.9,1
30740000001D88400000000A,55:33.5,0,1,5678,1
30740000001D88400000000B,55:33.5,0,1,9679,1
30740000001D88400000000A,55:33.5,0,1,5417.7,1
30740000001D88400000000B,55:33.6,0,1,9712.8,1
30740000001D88400000000A,55:33.6,0,1,4901.3,1
30740000001D88400000000B,55:33.7,0,1,10364.2,1
