,48:49.5,0,7,0,1
30740000001D88400000000A,48:49.5,0,1,15590.3,1
30740000001D88400000000A,48:49.6,0,1,15678.4,1
30740000001D88400000000A,48:49.6,0,1,15782,1
30740000001D88400000000A,48:49.7,0,1,15757.5,1
30740000001D88400000000A,48:49.7,0,1,15766.8,1
30740000001D88400000000A,48:49.8,0,1,15717.3,1
30740000001D88400000000A,48:49.8,0,1,15653.9,1
30740000001D88400000000A,48:49.9,0,1,15615.7,1
30740000001D88400000000A,48:49.9,0,1,15648.3,1
30740000001D88400000000A,48:50.0,0,1,15799.5,1
30740000001D88400000000A,48:50.0,0,1,15751.9,1
30740000001D88400000000A,48:50.1,0,1,15872,1
30740000001D88400000000A,48:50.1,0,1,15864.7,1
30740000001D88400000000A,48:50.2,0,1,15613.8,1
30740000001D88400000000A,48:50.3,0,1,15622.2,1
30740000001D88400000000A,48:50.3,0,1,15540.2,1
30740000001D88400000000A,48:50.4,0,1,15445.2,1
30740000001D88400000000A,48:50.4,0,1,15764.8,1
30740000001D88400000000A,48:50.5,0,1,15593,1
30740000001D88400000000A,48:50.5,0,1,15852.7,1
30740000001D88400000000A,48:50.6,0,1,15701,1
30740000001D88400000000A,48:50.6,0,1,15900.2,1
30740000001D88400000000A,48:50.7,0,1,15663.4,1
30740000001D88400000000A,48:50.7,0,1,15809.3,1
30740000001D88400000000A,48:50.8,0,1,15853.7,1
30740000001D88400000000A,48:50.8,0,1,15639.6,1
30740000001D88400000000A,48:50.9,0,1,15839.6,1
30740000001D88400000000A,48:50.9,0,1,15839.6,1
30740000001D88400000000A,48:51.0,0,1,15807.2,1
30740000001D88400000000A,48:51.0,0,1,15889.9,1
30740000001D88400000000A,48:51.1,0,1,14919.3,1
30740000001D88400000000A,48:51.1,0,1,14745.1,1
30740000001D88400000000A,48:51.2,0,1,14847.7,1
30740000001D88400000000A,48:51.2,0,1,15799.9,1
30740000001D88400000000A,48:51.3,0,1,16213,1
30740000001D88400000000A,48:51.3,0,1,16452.2,1
30740000001D88400000000A,48:51.4,0,1,16759.7,1
30740000001D88400000000A,48:51.4,0,1,16921.7,1
30740000001D88400000000A,48:51.5,0,1,17061.2,1
30740000001D88400000000A,48:51.5,0,1,17110.1,1
30740000001D88400000000A,48:51.6,0,1,17198.3,1
30740000001D88400000000A,48:51.6,0,1,15908.8,1
30740000001D88400000000A,48:51.7,0,1,14785.5,1
30740000001D88400000000A,48:51.7,0,1,14733.5,1
30740000001D88400000000A,48:51.8,0,1,14916.3,1
30740000001D88400000000A,48:51.9,0,1,15511.7,1
30740000001D88400000000A,48:51.9,0,1,15758.2,1
30740000001D88400000000A,48:51.9,0,1,15725.7,1
30740000001D88400000000A,48:52.0,0,1,14710.7,1
30740000001D88400000000A,48:52.0,0,1,14023.5,1
30740000001D88400000000A,48:52.1,0,1,13058.5,1
30740000001D88400000000A,48:52.1,0,1,12288.2,1
30740000001D88400000000A,48:52.2,0,1,11472.7,1
30740000001D88400000000A,48:52.3,0,1,12154.8,1
30740000001D88400000000A,48:52.3,0,1,11672.5,1
30740000001D88400000000A,48:52.3,0,1,12166.3,1
30740000001D88400000000A,48:52.4,0,1,13153.7,1
30740000001D88400000000A,48:52.4,0,1,13331.7,1
30740000001D88400000000A,48:52.5,0,1,12763.6,1
30740000001D88400000000A,48:52.5,0,1,12970.4,1
30740000001D88400000000A,48:52.6,0,1,11964.1,1
30740000001D88400000000A,48:52.6,0,1,10562.3,1
30740000001D88400000000A,48:52.7,0,1,9339.4,1
30740000001D88400000000A,48:52.8,0,1,9260.3,1
30740000001D88400000000A,48:52.8,0,1,9190.3,1
30740000001D88400000000A,48:52.9,0,1,8912.1,1
30740000001D88400000000A,48:52.9,0,1,8363.1,1
30740000001D88400000000A,48:53.0,0,1,9091,1
