,49:43.7,0,7,0,1
30740000001D88400000000A,49:43.7,0,1,4037.9,1
30740000001D88400000000A,49:43.7,0,1,4144.8,1
30740000001D88400000000A,49:43.8,0,1,4018.6,1
30740000001D88400000000A,49:43.8,0,1,3991.5,1
30740000001D88400000000A,49:43.9,0,1,3899.7,1
30740000001D88400000000A,49:43.9,0,1,4023.8,1
30740000001D88400000000A,49:44.0,0,1,3933.4,1
30740000001D88400000000A,49:44.0,0,1,4114.1,1
30740000001D88400000000A,49:44.1,0,1,3876.6,1
30740000001D88400000000A,49:44.1,0,1,3924,1
30740000001D88400000000A,49:44.2,0,1,3849,1
30740000001D88400000000A,49:44.2,0,1,3859.2,1
30740000001D88400000000A,49:44.3,0,1,3768.3,1
30740000001D88400000000A,49:44.3,0,1,3777,1
30740000001D88400000000A,49:44.4,0,1,3846.2,1
30740000001D88400000000A,49:44.4,0,1,3940.6,1
30740000001D88400000000A,49:44.5,0,1,3815.9,1
30740000001D88400000000A,49:44.5,0,1,3815,1
30740000001D88400000000A,49:44.5,0,1,3789.1,1
30740000001D88400000000A,49:44.6,0,1,3626.9,1
30740000001D88400000000A,49:44.7,0,1,3696.5,1
30740000001D88400000000A,49:44.7,0,1,4373.3,1
30740000001D88400000000A,49:44.8,0,1,4888.8,1
30740000001D88400000000A,49:44.8,0,1,5325,1
30740000001D88400000000A,49:44.9,0,1,5830.6,1
30740000001D88400000000A,49:44.9,0,1,5308.6,1
30740000001D88400000000A,49:45.0,0,1,5042.1,1
30740000001D88400000000A,49:45.0,0,1,5636,1
30740000001D88400000000A,49:45.1,0,1,5748.9,1
30740000001D88400000000A,49:45.1,0,1,5533.8,1
30740000001D88400000000A,49:45.2,0,1,4757.8,1
30740000001D88400000000A,49:45.2,0,1,4463.2,1
30740000001D88400000000A,49:45.3,0,1,4510.2,1
30740000001D88400000000A,49:45.3,0,1,4718.6,1
30740000001D88400000000A,49:45.4,0,1,4621.7,1
30740000001D88400000000A,49:45.4,0,1,4661.5,1
30740000001D88400000000A,49:45.5,0,1,4355.3,1
30740000001D88400000000A,49:45.6,0,1,4379,1
30740000001D88400000000A,49:45.6,0,1,4650.7,1
30740000001D88400000000A,49:45.7,0,1,4918.7,1
30740000001D88400000000A,49:45.7,0,1,5175.7,1
30740000001D88400000000A,49:45.8,0,1,5184.2,1
30740000001D88400000000A,49:45.8,0,1,4891.4,1
30740000001D88400000000A,49:45.8,0,1,5125.5,1
30740000001D88400000000A,49:45.9,0,1,5165.6,1
30740000001D88400000000A,49:45.9,0,1,6278.3,1
30740000001D88400000000A,49:46.0,0,1,6802.8,1
30740000001D88400000000A,49:46.1,0,1,7340.7,1
30740000001D88400000000A,49:46.1,0,1,7935.4,1
30740000001D88400000000A,49:46.2,0,1,8587.5,1
30740000001D88400000000A,49:46.2,0,1,9318.1,1
30740000001D88400000000A,49:46.2,0,1,9827.7,1
30740000001D88400000000A,49:46.3,0,1,10427,1
30740000001D88400000000A,49:46.3,0,1,11065.2,1
30740000001D88400000000A,49:46.4,0,1,12104.4,1
30740000001D88400000000A,49:46.4,0,1,12122.2,1
30740000001D88400000000A,49:46.5,0,1,12170.5,1
30740000001D88400000000A,49:46.6,0,1,11987.5,1
30740000001D88400000000A,49:46.6,0,1,11626.9,1
30740000001D88400000000A,49:46.7,0,1,11192,1
30740000001D88400000000A,49:46.7,0,1,10694.4,1
30740000001D88400000000A,49:46.8,0,1,10181.5,1
30740000001D88400000000A,49:46.8,0,1,9019.5,1
30740000001D88400000000A,49:46.9,0,1,8281.2,1
30740000001D88400000000A,49:46.9,0,1,7599.8,1
30740000001D88400000000A,49:47.0,0,1,6193.6,1
30740000001D88400000000A,49:47.0,0,1,5188.8,1
30740000001D88400000000A,49:47.1,0,1,4200,1
30740000001D88400000000A,49:47.1,0,1,3152.4,1
30740000001D88400000000A,49:47.2,0,1,2733.5,1
30740000001D88400000000A,49:47.2,0,1,1869,1
30740000001D88400000000A,49:49.2,0,1,1503.8,1
30740000001D88400000000A,49:49.3,0,1,1859.3,1
30740000001D88400000000A,49:49.4,0,1,2633,1
30740000001D88400000000A,49:49.4,0,1,3686.9,1
30740000001D88400000000A,49:49.5,0,1,4796.3,1
30740000001D88400000000A,49:49.5,0,1,6241.6,1
30740000001D88400000000A,49:49.5,0,1,7356.5,1
30740000001D88400000000A,49:49.6,0,1,7707,1
30740000001D88400000000A,49:49.6,0,1,9095.8,1
30740000001D88400000000A,49:49.7,0,1,10408.7,1
30740000001D88400000000A,49:49.8,0,1,11325.5,1
30740000001D88400000000A,49:49.8,0,1,12478.5,1
30740000001D88400000000A,49:49.9,0,1,12626.2,1
30740000001D88400000000A,49:49.9,0,1,10857.7,1
30740000001D88400000000A,49:50.0,0,1,7312.6,1
30740000001D88400000000A,49:50.0,0,1,7712.8,1
30740000001D88400000000A,49:50.1,0,1,11255.8,1
30740000001D88400000000A,49:50.1,0,1,12580.6,1
30740000001D88400000000A,49:50.2,0,1,11390,1
30740000001D88400000000A,49:50.2,0,1,9152.5,1
30740000001D88400000000A,49:50.3,0,1,8130.5,1
30740000001D88400000000A,49:50.3,0,1,8437.1,1
30740000001D88400000000A,49:50.4,0,1,7962.7,1
30740000001D88400000000A,49:50.4,0,1,7260.9,1
30740000001D88400000000A,49:50.5,0,1,6560.2,1
30740000001D88400000000A,49:50.5,0,1,6443.1,1
30740000001D88400000000A,49:50.6,0,1,7226,1
30740000001D88400000000A,49:50.6,0,1,9960.3,1
30740000001D88400000000A,49:50.7,0,1,10642.4,1
30740000001D88400000000A,49:50.7,0,1,10529.1,1
30740000001D88400000000A,49:50.8,0,1,10312.7,1
30740000001D88400000000A,49:50.8,0,1,10173.6,1
30740000001D88400000000A,49:50.9,0,1,9801.4,1
30740000001D88400000000A,49:50.9,0,1,9972.3,1
30740000001D88400000000A,49:51.0,0,1,10465.6,1
30740000001D88400000000A,49:51.0,0,1,11464.4,1
30740000001D88400000000A,49:51.1,0,1,12152.2,1
30740000001D88400000000A,49:51.1,0,1,12245.7,1
30740000001D88400000000A,49:51.2,0,1,11184.9,1
30740000001D88400000000A,49:51.2,0,1,10687.5,1
30740000001D88400000000A,49:51.3,0,1,10752.9,1
30740000001D88400000000A,49:51.3,0,1,10772.5,1
30740000001D88400000000A,49:51.4,0,1,11038,1
30740000001D88400000000A,49:51.4,0,1,11015.8,1
30740000001D88400000000A,49:51.5,0,1,11060.8,1
30740000001D88400000000A,49:51.5,0,1,10998.3,1
30740000001D88400000000A,49:51.6,0,1,11021.5,1
30740000001D88400000000A,49:51.6,0,1,11030.1,1
30740000001D88400000000A,49:51.7,0,1,11138.8,1
30740000001D88400000000A,49:51.8,0,1,11089.6,1
30740000001D88400000000A,49:51.8,0,1,10872.6,1
30740000001D88400000000A,49:51.9,0,1,10003,1
30740000001D88400000000A,49:51.9,0,1,9927,1
30740000001D88400000000A,49:51.9,0,1,10058.5,1
30740000001D88400000000A,49:52.0,0,1,10126.9,1
30740000001D88400000000A,49:52.0,0,1,9841.5,1
30740000001D88400000000A,49:52.1,0,1,10756.8,1
30740000001D88400000000A,49:52.2,0,1,11067.1,1
